file,target,phase,associations,callbacks,scopes,includes
app/models/comment.rb,services/api/internal/comments,P1,31:belongs_to:commentable | 32:belongs_to:user | 37:has_many:mentions | 38:has_many:notifications | 39:has_many:ai_audits | 40:has_many:notification_subscriptions,41:before_validation:evaluate_markdown | 42:before_save:set_markdown_character_count | 43:before_save:synchronous_spam_score_check | 44:before_create:adjust_comment_parent_based_on_depth | 45:after_create:after_create_checks | 46:after_create:notify_slack_channel_about_warned_users | 47:after_update:update_descendant_notifications | 48:after_update:remove_notifications | 49:before_destroy:before_destroy_actions | 50:after_destroy:after_destroy_actions | 52:after_save:create_conditional_autovomits | 53:after_save:synchronous_bust | 54:after_save:bust_cache | 79:after_commit:calculate_score | 80:after_commit:enqueue_article_activity_update,"97:scope :eager_load_serialized_data, -> { includes(:user, :commentable) } | 98:scope :good_quality, -> { where(""comments.score > ?"", LOW_QUALITY_THRESHOLD) }",2:include LiquidEmbeddable | 3:include WebpageTrackable | 7:include PgSearch::Model | 8:include Reactable | 9:include AlgoliaSearchable
app/models/concerns/algolia_searchable/searchable_article.rb,services/api/internal/articles + search documents,P1,,,,6:include AlgoliaSearch
app/models/concerns/algolia_searchable/searchable_comment.rb,services/api/internal/comments,P1,,,,6:include AlgoliaSearch
app/models/concerns/algolia_searchable/searchable_podcast_episode.rb,services/api/internal/media (post-MVP),P1,,,,6:include AlgoliaSearch
app/models/concerns/algolia_searchable/searchable_tag.rb,services/api/internal/articles + search documents,P1,,,,6:include AlgoliaSearch
app/models/concerns/algolia_searchable.rb,services/api/internal/domain + gorm models,P1,,,,11:include AlgoliaSearch
app/models/concerns/liquid_embeddable.rb,services/api/internal/domain + gorm models,P1,5:has_many:liquid_embed_references,7:after_commit:queue_liquid_embed_sync | 8:after_commit:sync_liquid_embed_metadata,,
app/models/concerns/reactable.rb,services/api/internal/domain + gorm models,P1,5:has_many:reactions | 6:has_many:distinct_reaction_categories,,,
app/models/concerns/taggable.rb,services/api/internal/articles + search documents,P1,,57:before_save:sync_tags_array,"6:scope :cached_tagged_with, lambda { |tag| | 28:scope :cached_tagged_with_any, lambda { |tags| | 53:scope :not_cached_tagged_with_any, lambda { |tags|",
app/models/concerns/trackable.rb,services/api/internal/domain + gorm models,P1,,10:after_commit:enqueue_trackable_event_created | 11:after_commit:enqueue_trackable_event_updated | 12:after_commit:enqueue_trackable_event_destroyed | 14:before_destroy:snapshot_trackable_user_ids,,
app/models/concerns/user_subscription_sourceable.rb,services/api/internal/identity,P1,7:has_many:user_subscriptions | 8:has_many:sourced_subscribers,,,
