file,domain,target,phase,queue_options,has_perform,service_calls
app/workers/notifications/notifiable_action_worker.rb,notifications,services/api/internal/notifications + worker,P2,"queue: :low_priority, retry: 10",True,Notifications::NotifiableAction::Send.call
app/workers/notifications/organization_deverification_worker.rb,notifications,services/api/internal/notifications + worker,P2,"queue: :low_priority, retry: 10",True,Notifications::OrganizationDeverification::Send.call
app/workers/notifications/remove_all_worker.rb,notifications,services/api/internal/notifications + worker,P2,"queue: :low_priority, retry: 10",True,Notifications::RemoveAll.call
app/workers/notifications/remove_by_spammer_worker.rb,notifications,services/api/internal/notifications + worker,P2,"queue: :low_priority, retry: 10",True,Notifications::RemoveBySpammer.call
app/workers/notifications/remove_old_notifications_worker.rb,notifications,services/api/internal/notifications + worker,P2,"queue: :low_priority, retry: 10",True,
app/workers/notifications/subforem_change_notification_worker.rb,notifications,services/api/internal/notifications + worker,P2,"queue: :medium_priority, retry: 10",True,Notifications::SubforemChangeNotification::Send.call
app/workers/notifications/tag_adjustment_notification_worker.rb,notifications,services/api/internal/notifications + worker,P2,"queue: :medium_priority, retry: 10",True,Notifications::TagAdjustmentNotification::Send.call
app/workers/notifications/update_worker.rb,notifications,services/api/internal/notifications + worker,P2,"queue: :medium_priority, retry: 10, lock: :until_executing",True,Notifications::Update.call
app/workers/notifications/welcome_notification_worker.rb,notifications,services/api/internal/notifications + worker,P2,"queue: :low_priority, retry: 10",True,Notifications::WelcomeNotification::Send.call
app/workers/organizations/bust_cache_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,,True,EdgeCache::BustOrganization.call
app/workers/organizations/delete_custom_domain_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :default, retry: 5, lock: :until_executing, on_conflict: :replace",True,
app/workers/organizations/delete_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :high_priority, retry: 10",True,Organizations::Delete.call | EdgeCache::BustUser.call | AuditLog.create
app/workers/organizations/provision_custom_domain_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"lock: :until_executing, on_conflict: :replace",True,
app/workers/organizations/recompile_pages_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :default, retry: 3, lock: :until_executing, on_conflict: :replace",True,
app/workers/organizations/reverify_all_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 1",True,Organizations::ReverifyOneWorker.perform_async
app/workers/organizations/reverify_one_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 3",True,Organizations::VerifyLinkback.call | Notifications::OrganizationDeverificationWorker.perform_async
app/workers/organizations/save_article_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,queue: :high_priority,True,
app/workers/organizations/track_promotional_billboard_impressions_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 3",True,
app/workers/organizations/update_organization_articles_paths_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,queue: :high_priority,True,
app/workers/organizations/verify_custom_domain_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"lock: :until_executing, on_conflict: :replace",True,
app/workers/organizations/verify_linkback_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :default, retry: 3",True,Organizations::VerifyLinkback.call
app/workers/page_templates/re_render_pages_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :medium_priority, retry: 3",True,
app/workers/page_view_rollup_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: false",True,
app/workers/pages/bust_cache_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,,True,EdgeCache::BustPage.call
app/workers/podcast_episodes/bust_cache_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,,True,EdgeCache::BustPodcastEpisode.call
app/workers/podcast_episodes/create_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,queue: :high_priority,True,Podcasts::CreateEpisode.call
app/workers/podcast_episodes/update_media_url_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,queue: :medium_priority,True,Podcasts::UpdateEpisodeMediaUrl.call
app/workers/podcasts/bust_cache_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,,True,EdgeCache::BustPodcast.call
app/workers/podcasts/enqueue_get_episodes_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :medium_priority, retry: 10",True,
app/workers/podcasts/get_episodes_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :high_priority, retry: 10",True,Podcasts::Feed.new
app/workers/push_notifications/cleanup_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 10, lock: :until_and_while_executing",True,Redis.new
app/workers/push_notifications/deliver_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :medium_priority,",True,
app/workers/rating_votes/assign_rating_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 10, lock: :until_executing",True,
app/workers/reaction_counter_sync_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 3, lock: :until_executed",True,
app/workers/reactions/bust_homepage_cache_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :high_priority, retry: 10",True,EdgeCache::Bust.new
app/workers/reactions/bust_reactable_cache_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :high_priority, retry: 10",True,EdgeCache::PurgeByKey.call | EdgeCache::PurgeByKey.call | EdgeCache::BustArticle.call | Articles::UpdateDependentEmbedsWorker.perform_async | EdgeCache::PurgeByKey.call
app/workers/reactions/update_relevant_scores_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :high_priority, retry: 10",True,Follows::UpdatePointsWorker.perform_async
app/workers/scheduled_automations/process_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :default, retry: 3",True,ScheduledAutomation.create | Executor.call
app/workers/segmented_user_refresh_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,queue: :low_priority,True,
app/workers/slack/messengers/worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :default, retry: 10",True,Slack::Announcer.call
app/workers/slack/workflow_webhook_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 10",True,Slack::WorkflowWebhook.call
app/workers/spaces/bust_caches_for_space_change_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,,True,
app/workers/spam/block_domain_and_suspend_users_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :default, retry: 5",True,Note.create
app/workers/spam/reaction_ring_detection_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :default, retry: 3, lock: :until_and_while_executing",True,Spam::ReactionRingDetector.new | Slack::Messengers::ReactionRingDetected.call
app/workers/subforems/create_from_scratch_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :default, retry: 3",True,Images::GenerateSubforemImages.call | Ai::CommunityCopy.new | Ai::ForemTags.new | Ai::AboutPageGenerator.new
app/workers/sync_liquid_embed_references_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,queue: :low_priority,True,
app/workers/sync_webpage_references_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, lock: :until_executing, on_conflict: :replace",True,LinkedDomains::UpdateScoreWorker.perform_async
app/workers/tags/alias_retag_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 5",True,ActsAsTaggableOn::TagParser.new
app/workers/tags/bust_cache_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,,True,EdgeCache::BustTag.call
app/workers/tags/resave_supported_tags_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 5, lock: :until_and_while_executing",True,
app/workers/trackable/dispatch_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 5",True,
app/workers/trends/generate_cover_image_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 5",True,Ai::ImageGenerator.new
app/workers/update_user_interest_embedding_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, lock: :until_executing, on_conflict: :replace",True,
app/workers/users/bust_cache_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,,True,EdgeCache::BustUser.call
app/workers/users/bust_profile_details_cache_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,,True,EdgeCache::PurgeByKey.call
app/workers/users/bust_profile_identity_cache_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,,True,EdgeCache::PurgeByKey.call
app/workers/users/bust_profile_image_cache_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,,True,EdgeCache::PurgeByKey.call
app/workers/users/confirm_flag_reactions_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :medium_priority, retry: 10, lock: :until_executing",True,Users::ConfirmFlagReactions.call
app/workers/users/delete_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :high_priority, retry: 10",True,Users::Delete.call | GDPRDeleteRequest.create
app/workers/users/follow_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :high_priority, retry: 10, lock: :until_executed",True,
app/workers/users/generate_ai_profile_image_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 5",True,Ai::ImageGenerator.new
app/workers/users/handle_profile_spam_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,,True,
app/workers/users/merge_sync_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :high_priority, retry: 10",True,
app/workers/users/record_field_test_event_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 10, lock: :until_and_while_executing",True,
app/workers/users/resave_articles_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :medium_priority, retry: 10, lock: :until_executing",True,
app/workers/users/resolve_spam_reports_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :medium_priority, retry: 10, lock: :until_executing",True,Users::ResolveSpamReports.call
app/workers/users/subscribe_to_mailchimp_newsletter_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 10, lock: :until_executed",True,Mailchimp::Bot.new
app/workers/users/update_user_activities_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 10, lock: :until_and_while_executing",True,
app/workers/visits/remove_old_visits_worker.rb,jobs,services/api/cmd/worker + internal/jobs,P2,"queue: :low_priority, retry: 10",True,
